date,matchup,game_id,result,p1_name,p1_pts,p1_reb,p1_ast,p2_name,p2_pts,p2_reb,p2_ast,p3_name,p3_pts,p3_reb,p3_ast,p4_name,p4_pts,p4_reb,p4_ast,p5_name,p5_pts,p5_reb,p5_ast,p6_name,p6_pts,p6_reb,p6_ast,op1_name,op1_pts,op1_reb,op1_ast,op2_name,op2_pts,op2_reb,op2_ast,op3_name,op3_pts,op3_reb,op3_ast,op4_name,op4_pts,op4_reb,op4_ast,op5_name,op5_pts,op5_reb,op5_ast,op6_name,op6_pts,op6_reb,op6_ast
2016-02-22,LAL @ MIL,21500837,L,Kobe Bryant,15.0,5.0,2.0,Julius Randle,5.0,7.0,1.0,Roy Hibbert,2.0,2.0,0.0,Jordan Clarkson,15.0,3.0,3.0,D'Angelo Russell,9.0,5.0,4.0,Lou Williams,14.0,6.0,4.0,Giannis Antetokounmpo,27.0,12.0,10.0,Jabari Parker,15.0,9.0,4.0,Miles Plumlee,14.0,5.0,1.0,Khris Middleton,18.0,2.0,6.0,O.J. Mayo,12.0,3.0,4.0,Greg Monroe,12.0,8.0,1.0
2016-02-21,LAL @ CHI,21500831,L,Kobe Bryant,22.0,4.0,1.0,Julius Randle,22.0,12.0,0.0,Roy Hibbert,6.0,3.0,0.0,D'Angelo Russell,15.0,2.0,6.0,Jordan Clarkson,20.0,9.0,4.0,Lou Williams,11.0,2.0,1.0,Mike Dunleavy,17.0,1.0,2.0,Taj Gibson,5.0,8.0,4.0,Pau Gasol,21.0,7.0,5.0,E'Twaun Moore,24.0,4.0,1.0,Derrick Rose,24.0,7.0,6.0,Aaron Brooks,2.0,3.0,9.0
2016-02-19,LAL vs. SAS,21500818,L,Kobe Bryant,25.0,4.0,3.0,Julius Randle,11.0,15.0,0.0,Roy Hibbert,2.0,6.0,3.0,Lou Williams,21.0,1.0,1.0,Jordan Clarkson,20.0,3.0,6.0,D'Angelo Russell,8.0,1.0,3.0,Kyle Anderson,14.0,3.0,3.0,Tim Duncan,12.0,13.0,1.0,LaMarcus Aldridge,16.0,8.0,3.0,Danny Green,2.0,3.0,2.0,Tony Parker,25.0,1.0,6.0,Patty Mills,15.0,1.0,7.0
2016-02-10,LAL @ CLE,21500795,L,Kobe Bryant,17.0,6.0,3.0,Julius Randle,7.0,8.0,0.0,Roy Hibbert,9.0,3.0,0.0,Jordan Clarkson,22.0,6.0,7.0,Lou Williams,28.0,4.0,2.0,D'Angelo Russell,15.0,2.0,3.0,LeBron James,29.0,7.0,11.0,Kevin Love,8.0,6.0,3.0,Tristan Thompson,15.0,13.0,4.0,JR Smith,9.0,1.0,1.0,Kyrie Irving,35.0,3.0,7.0,Anderson Varejao,8.0,6.0,0.0
2016-02-08,LAL @ IND,21500776,L,Kobe Bryant,19.0,5.0,0.0,Julius Randle,15.0,19.0,3.0,Robert Sacre,0.0,0.0,0.0,Lou Williams,13.0,3.0,1.0,Jordan Clarkson,10.0,3.0,2.0,Brandon Bass,9.0,6.0,2.0,Paul George,21.0,9.0,2.0,Myles Turner,14.0,13.0,1.0,Ian Mahinmi,11.0,5.0,1.0,Monta Ellis,8.0,4.0,2.0,George Hill,15.0,1.0,6.0,Jordan Hill,9.0,9.0,1.0
2016-02-06,LAL @ SAS,21500767,L,Kobe Bryant,25.0,2.0,4.0,Julius Randle,15.0,16.0,4.0,Roy Hibbert,2.0,2.0,0.0,Jordan Clarkson,21.0,6.0,4.0,Lou Williams,14.0,3.0,4.0,D'Angelo Russell,12.0,2.0,2.0,Kawhi Leonard,20.0,13.0,3.0,LaMarcus Aldridge,26.0,9.0,2.0,David West,6.0,8.0,5.0,Danny Green,11.0,5.0,2.0,Tony Parker,14.0,2.0,4.0,Boris Diaw,4.0,1.0,3.0
2016-02-04,LAL @ NOP,21500747,W,Kobe Bryant,27.0,12.0,2.0,Julius Randle,11.0,8.0,3.0,Roy Hibbert,2.0,8.0,1.0,Lou Williams,8.0,1.0,1.0,Jordan Clarkson,18.0,5.0,2.0,D'Angelo Russell,13.0,3.0,3.0,Alonzo Gee,0.0,0.0,1.0,Anthony Davis,39.0,11.0,0.0,Omer Asik,0.0,8.0,0.0,Bryce Dejean-Jones,17.0,9.0,1.0,Norris Cole,2.0,0.0,2.0,Jrue Holiday,19.0,0.0,9.0
2016-02-02,LAL vs. MIN,21500734,W,Kobe Bryant,38.0,5.0,5.0,Julius Randle,15.0,12.0,2.0,Roy Hibbert,2.0,1.0,1.0,Lou Williams,20.0,0.0,4.0,Jordan Clarkson,16.0,3.0,2.0,D'Angelo Russell,18.0,3.0,3.0,Tayshaun Prince,6.0,1.0,3.0,Gorgui Dieng,19.0,6.0,5.0,Karl-Anthony Towns,14.0,10.0,2.0,Andrew Wiggins,30.0,4.0,1.0,Ricky Rubio,10.0,2.0,15.0,Shabazz Muhammad,12.0,3.0,1.0
2016-01-31,LAL vs. CHA,21500720,L,Kobe Bryant,23.0,8.0,3.0,Julius Randle,10.0,11.0,2.0,Roy Hibbert,0.0,2.0,0.0,Lou Williams,11.0,2.0,2.0,Jordan Clarkson,13.0,0.0,1.0,Brandon Bass,2.0,1.0,2.0,Michael Kidd-Gilchrist,19.0,12.0,3.0,Marvin Williams,19.0,12.0,2.0,Spencer Hawes,4.0,6.0,5.0,Jeremy Lin,6.0,5.0,5.0,Kemba Walker,12.0,7.0,6.0,Troy Daniels,9.0,5.0,1.0
2016-01-29,LAL @ LAC,21500706,L,Anthony Brown,5.0,4.0,3.0,Julius Randle,23.0,14.0,1.0,Roy Hibbert,12.0,5.0,2.0,Lou Williams,11.0,6.0,4.0,Jordan Clarkson,17.0,8.0,2.0,D'Angelo Russell,8.0,2.0,5.0,Luc Mbah a Moute,0.0,2.0,0.0,Wesley Johnson,9.0,2.0,1.0,DeAndre Jordan,6.0,17.0,1.0,JJ Redick,7.0,1.0,2.0,Chris Paul,27.0,1.0,7.0,Cole Aldrich,6.0,4.0,1.0
